,시간,03-04 (월)
0,최대,313.62
1,최소,80.97
2,가중평균,163.17
3,01시,168.3
4,02시,86.82
5,03시,80.97
6,04시,80.97
7,05시,80.97
8,06시,81.81
9,07시,166.81
10,08시,309.13
11,09시,173.82
12,10시,175.21
13,11시,167.28
14,12시,167.28
15,13시,146.22
16,14시,150.25
17,15시,149.63
18,16시,167.0
19,17시,167.0
20,18시,169.11
21,19시,167.17
22,20시,313.62
23,21시,169.85
24,22시,255.37
25,23시,137.23
26,24시,107.12
