,시간,03-10 (일)
0,최대,255.59
1,최소,6.93
2,가중평균,142.49
3,01시,156.87
4,02시,154.76
5,03시,110.09
6,04시,142.5
7,05시,110.35
8,06시,170.09
9,07시,170.09
10,08시,170.09
11,09시,110.09
12,10시,91.64
13,11시,91.77
14,12시,91.28
15,13시,91.29
16,14시,6.93
17,15시,82.66
18,16시,91.5
19,17시,93.74
20,18시,161.39
21,19시,166.08
22,20시,255.59
23,21시,255.59
24,22시,166.38
25,23시,166.38
26,24시,166.38
