,시간,10-17 (목)
0,최대,157.02
1,최소,92.27
2,가중평균,135.37
3,01시,101.52
4,02시,92.34
5,03시,92.29
6,04시,92.27
7,05시,92.34
8,06시,100.76
9,07시,101.05
10,08시,125.6
11,09시,138.75
12,10시,153.93
13,11시,153.93
14,12시,153.87
15,13시,153.41
16,14시,153.87
17,15시,153.87
18,16시,157.02
19,17시,157.02
20,18시,156.21
21,19시,156.94
22,20시,156.94
23,21시,156.94
24,22시,156.94
25,23시,105.24
26,24시,105.24
