,시간,05-03 (금)
0,최대,149.6
1,최소,-79.06
2,가중평균,113.81
3,01시,137.55
4,02시,137.57
5,03시,137.57
6,04시,123.81
7,05시,125.86
8,06시,137.61
9,07시,137.57
10,08시,137.46
11,09시,137.65
12,10시,138.45
13,11시,0.0
14,12시,-79.06
15,13시,-79.06
16,14시,-2.0
17,15시,138.31
18,16시,138.24
19,17시,139.15
20,18시,139.19
21,19시,139.24
22,20시,148.73
23,21시,139.63
24,22시,149.52
25,23시,149.52
26,24시,149.6
