,시간,10-13 (일)
0,최대,108.25
1,최소,83.33
2,가중평균,98.05
3,01시,103.27
4,02시,99.54
5,03시,91.83
6,04시,83.33
7,05시,92.33
8,06시,105.76
9,07시,108.25
10,08시,105.25
11,09시,92.37
12,10시,92.52
13,11시,92.52
14,12시,92.38
15,13시,92.22
16,14시,92.45
17,15시,92.29
18,16시,92.51
19,17시,92.51
20,18시,101.67
21,19시,105.94
22,20시,105.95
23,21시,105.88
24,22시,103.12
25,23시,103.12
26,24시,101.9
