,시간,04-23 (화)
0,최대,188.25
1,최소,130.92
2,가중평균,145.91
3,01시,159.63
4,02시,131.48
5,03시,131.48
6,04시,131.48
7,05시,131.48
8,06시,131.48
9,07시,141.65
10,08시,141.81
11,09시,188.25
12,10시,142.15
13,11시,133.68
14,12시,134.53
15,13시,130.92
16,14시,133.68
17,15시,136.09
18,16시,141.62
19,17시,146.73
20,18시,154.64
21,19시,160.42
22,20시,158.55
23,21시,157.47
24,22시,156.57
25,23시,156.57
26,24시,156.29
