,시간,08-21 (수)
0,최대,183.62
1,최소,128.99
2,가중평균,154.61
3,01시,144.0
4,02시,138.11
5,03시,136.03
6,04시,128.99
7,05시,134.66
8,06시,138.51
9,07시,140.1
10,08시,141.84
11,09시,146.38
12,10시,156.51
13,11시,183.62
14,12시,159.28
15,13시,157.33
16,14시,158.24
17,15시,183.61
18,16시,178.51
19,17시,159.28
20,18시,159.28
21,19시,159.83
22,20시,159.83
23,21시,159.83
24,22시,156.82
25,23시,143.68
26,24시,141.67
