,시간,07-18 (목)
0,최대,153.94
1,최소,100.14
2,가중평균,136.75
3,01시,132.94
4,02시,112.47
5,03시,103.29
6,04시,100.14
7,05시,100.14
8,06시,103.44
9,07시,136.42
10,08시,138.51
11,09시,137.84
12,10시,141.38
13,11시,141.47
14,12시,141.48
15,13시,141.86
16,14시,141.86
17,15시,141.85
18,16시,141.82
19,17시,141.3
20,18시,140.58
21,19시,153.94
22,20시,153.94
23,21시,153.94
24,22시,153.94
25,23시,136.03
26,24시,136.03
