,시간,03-25 (월)
0,최대,208.14
1,최소,105.24
2,가중평균,150.23
3,01시,143.15
4,02시,105.24
5,03시,105.24
6,04시,105.24
7,05시,105.24
8,06시,105.24
9,07시,156.31
10,08시,165.27
11,09시,167.94
12,10시,208.14
13,11시,167.94
14,12시,156.2
15,13시,150.87
16,14시,162.11
17,15시,162.33
18,16시,162.39
19,17시,156.2
20,18시,156.2
21,19시,162.11
22,20시,156.21
23,21시,156.15
24,22시,153.07
25,23시,153.02
26,24시,152.89
