,시간,08-02 (금)
0,최대,162.12
1,최소,106.79
2,가중평균,151.2
3,01시,144.37
4,02시,129.99
5,03시,127.85
6,04시,106.79
7,05시,126.45
8,06시,129.99
9,07시,141.35
10,08시,141.76
11,09시,146.58
12,10시,147.44
13,11시,157.86
14,12시,157.7
15,13시,157.7
16,14시,157.7
17,15시,157.7
18,16시,161.57
19,17시,161.57
20,18시,161.57
21,19시,160.39
22,20시,162.12
23,21시,159.56
24,22시,160.39
25,23시,160.39
26,24시,156.3
