b_da,q_da,b_rt,q_rt,z,Profit,prob
0.0,8800.0,0.0,7805.162330238876,7805.162330238876,624412.9864191083,0.05587800000000008
0.0,8800.0,0.0,7805.162330238876,7805.162330238876,624412.9864191081,0.002412000000000003
0.0,8800.0,0.0,7805.162330238876,7805.162330238876,624412.9864191122,0.004556000000000006
0.0,8800.0,0.0,7805.162330238876,7805.162330238876,624412.9864191124,0.0018090000000000024
0.0,8800.0,0.0,7805.162330238876,7805.162330238876,624412.9864191214,0.0023450000000000033
0.0,8800.0,0.0,6357.2860299434205,6357.2860299434205,508582.8823954706,0.04003200000000006
0.0,8800.0,0.0,6357.2860299434205,6357.2860299434205,508582.8823954786,0.0017280000000000025
0.0,8800.0,0.0,6357.2860299434205,6357.2860299434205,508582.8823954711,0.0032640000000000047
0.0,8800.0,0.0,6357.2860299434205,6357.2860299434205,508582.88239547587,0.0012960000000000018
0.0,8800.0,0.0,6357.2860299434205,6357.2860299434205,508582.8823954708,0.0016800000000000025
0.0,8800.0,-78.86249999999912,8440.617267202644,8440.617267202644,675249.381376208,0.05170800000000008
0.0,8800.0,-78.86249999999912,8440.617267202644,8440.617267202644,675249.3813762104,0.002232000000000003
0.0,8800.0,-78.86249999999912,8440.617267202644,8440.617267202644,675249.3813762089,0.004216000000000006
0.0,8800.0,-78.86249999999912,8440.617267202644,8440.617267202644,675249.3813762162,0.0016740000000000023
0.0,8800.0,-78.86249999999912,8440.617267202644,8440.617267202644,675249.3813762362,0.002170000000000003
0.0,8800.0,0.0,6868.732718490626,6868.732718490626,549498.6174792517,0.042534000000000065
0.0,8800.0,0.0,6868.732718490626,6868.732718490626,549498.6174792582,0.0018360000000000026
0.0,8800.0,0.0,6868.732718490626,6868.732718490626,549498.6174792591,0.003468000000000005
0.0,8800.0,0.0,6868.732718490626,6868.732718490626,549498.6174792536,0.001377000000000002
0.0,8800.0,0.0,6868.732718490626,6868.732718490626,549498.6174792598,0.0017850000000000025
0.0,8800.0,0.0,5715.186897434821,5715.186897434821,457214.95179479447,0.05671200000000008
0.0,8800.0,0.0,5715.186897434821,5715.186897434821,457214.9517947923,0.0024480000000000036
0.0,8800.0,0.0,5715.186897434821,5715.186897434821,457214.9517947906,0.004624000000000007
0.0,8800.0,0.0,5715.186897434821,5715.186897434821,457214.95179479057,0.0018360000000000023
0.0,8800.0,0.0,5715.186897434821,5715.186897434821,457214.95179479424,0.002380000000000003
0.0,8800.0,0.0,8157.653457357084,8157.653457357084,652612.2765885666,0.0708900000000001
0.0,8800.0,0.0,8157.653457357084,8157.653457357084,652612.2765885735,0.0030600000000000046
0.0,8800.0,0.0,8157.653457357084,8157.653457357084,652612.2765885666,0.005780000000000008
0.0,8800.0,0.0,8157.653457357084,8157.653457357084,652612.2765885697,0.002295000000000003
0.0,8800.0,0.0,8157.653457357084,8157.653457357084,652612.2765885793,0.002975000000000004
0.0,8800.0,0.0,8745.401103638636,8745.401103638636,699632.0882910873,0.04170000000000006
0.0,8800.0,0.0,8745.401103638636,8745.401103638636,699632.0882910932,0.0018000000000000026
0.0,8800.0,0.0,8745.401103638636,8745.401103638636,699632.0882910948,0.003400000000000005
0.0,8800.0,0.0,8745.401103638636,8745.401103638636,699632.0882910952,0.0013500000000000018
0.0,8800.0,0.0,8745.401103638636,8745.401103638636,699632.0882911006,0.0017500000000000024
0.0,8800.0,0.0,7206.106318740547,7206.106318740547,576488.5054992423,0.03419400000000005
0.0,8800.0,0.0,7206.106318740547,7206.106318740547,576488.5054992491,0.001476000000000002
0.0,8800.0,0.0,7206.106318740547,7206.106318740547,576488.5054992462,0.002788000000000004
0.0,8800.0,0.0,7206.106318740547,7206.106318740547,576488.5054992468,0.0011070000000000014
0.0,8800.0,0.0,7206.106318740547,7206.106318740547,576488.5054992547,0.001435000000000002
0.0,8800.0,0.0,7551.449524903273,7551.449524903273,604115.9619922695,0.03836400000000006
0.0,8800.0,0.0,7551.449524903273,7551.449524903273,604115.9619922675,0.0016560000000000023
0.0,8800.0,0.0,7551.449524903273,7551.449524903273,604115.9619922766,0.0031280000000000045
0.0,8800.0,0.0,7551.449524903273,7551.449524903273,604115.9619922721,0.0012420000000000018
0.0,8800.0,0.0,7551.449524903273,7551.449524903273,604115.9619922676,0.0016100000000000023
0.0,8800.0,0.0,8585.910071683462,8585.910071683462,686872.8057346776,0.0658860000000001
0.0,8800.0,0.0,8585.910071683462,8585.910071683462,686872.8057346786,0.002844000000000004
0.0,8800.0,0.0,8585.910071683462,8585.910071683462,686872.8057346772,0.005372000000000008
0.0,8800.0,0.0,8585.910071683462,8585.910071683462,686872.805734681,0.002133000000000003
0.0,8800.0,0.0,8585.910071683462,8585.910071683462,686872.8057348976,0.002765000000000004
0.0,8800.0,0.0,6298.95714156187,6298.95714156187,503916.5713249519,0.04587000000000007
0.0,8800.0,0.0,6298.95714156187,6298.95714156187,503916.5713249531,0.001980000000000003
0.0,8800.0,0.0,6298.95714156187,6298.95714156187,503916.57132495893,0.0037400000000000055
0.0,8800.0,0.0,6298.95714156187,6298.95714156187,503916.5713249533,0.0014850000000000022
0.0,8800.0,0.0,6298.95714156187,6298.95714156187,503916.5713249541,0.0019250000000000029
0.0,8800.0,0.0,8159.861179656371,8159.861179656371,652788.8943725085,0.04670400000000007
